repo_name,no_of_contributions
mofo-transaction-storage,68
mofo-ui,56
monolith,252
monolith-aggregator,517
monolith-client,79
monolith.js,8
morgoth,2
morgothv1,226
mortar,34
mortar-app-stub,34
mortar-appinstall,16
mortar-devtools,58
mortar-game-stub,36
mortar-hello-world,2
mortar-layouts,23
mortar-list-detail,52
mortar-privileged-empty-app,11
mortar-privileged-remote-app,58
mortar-tab-view,74
mortar-tabs-component,15
mortar-template-template,14
motown,140
moz-cheddar,254
moz-coco,31
moz-console,18
moz-corsica,646
moz-crash-rate-aggregates,20
moz-dev-contrib,13
moz-git-tools,196
moz-grid-config,336
moz-handler,31
moz-security-monkey,24
moz-skia,5991
moz-sql-parser,111
moz-telemetry-dashboard,24
moz2d,3
mozWhistle,8
mozaik-amo-dashboard,31
mozanalysis,147
mozapps-polyfill,8
mozbadging,7
mozbase-deprecated,1
mozcommitbuilder,81
mozdata,10
mozdef_client,89
mozdownload,301
mozfest-event-app,3056
mozfest-event-app-data-processor,100
mozfest-program,12
mozfest-web-literacy,1
mozhacks-2013,78
mozilla-advocacy-gantt,32
mozilla-badges,223
mozilla-bsd-cache,12
mozilla-campus-clubs,285
mozilla-central,1
mozilla-cloud-services-logger,15
mozilla-club-activity-hack-the-news,29
mozilla-club-activity-html-puzzle-boxes,28
mozilla-club-activity-kraken-the-code,26
mozilla-club-activity-ping-kong,32
mozilla-club-activity-story-of-us,22
mozilla-club-activity-web-chef,24
mozilla-club-guides,30
mozilla-demo-social-service,3
mozilla-depends,18
mozilla-django-oidc,405
mozilla-flask-crb,55
mozilla-history,43213
mozilla-identity,53
mozilla-ignite,1408
mozilla-ignite-learning-lab-demos,86
mozilla-ignite-learning-lab-videos,2
mozilla-infobar,17
mozilla-opennews,968
mozilla-pootle-extras,19
mozilla-presentation-templates,56
mozilla-reports,107
mozilla-schema-generator,336
mozilla-sphinx-theme,16
mozilla-taskboard,1
mozilla.github.io,7
mozilla_ci_tools,551
mozilla_webhook_sync,20
mozillaclubs,588
mozillafestival.org,756
mozillalabs.com,5
mozillawebmakerproxy.net,307
mozillians,5316
mozillians-ldap,58
mozillians-lib,102
mozillians-tests,556
mozjexl,97
mozjpeg,4031
mozlando-frontend-demo,33
mozlog,65
mozmaker-templates,71
mozmill,1021
mozmill-automation,72
mozmill-ci,643
mozmill-dashboard,169
mozmill-environment,67
mozmoderator,398
mozorg-js-external,5
mozpay-js,11
mozpay-py,25
mozpdx-lunch,5
mozplatformqa-jenkins,24
mozplatformqa-jenkins-config,261
mozplatformqa-jenkins-jobs,3
mozpool,341
mozregression,1316
mozreport,57
